ID,Genero,Categoria,Subcategoria,Contrato,PRIDE,SNI,EDAD
76,H,Maes,ND,CONACYT,ND,ND,70
77,H,Maes,ND,CONACYT,ND,ND,41
78,H,Maes,ND,CONACYT,ND,ND,50
79,H,Maes,ND,CONACYT,ND,ND,22
80,H,Maes,ND,CONACYT,ND,ND,36
81,H,Maes,ND,CONACYT,ND,ND,71
82,H,Maes,ND,CONACYT,ND,ND,75
83,H,Maes,ND,CONACYT,ND,ND,30
84,H,Maes,ND,CONACYT,ND,ND,37
85,H,Maes,ND,CONACYT,ND,ND,41
86,H,Maes,ND,CONACYT,ND,ND,28
87,H,Maes,ND,CONACYT,ND,ND,49
88,H,Maes,ND,CONACYT,ND,ND,39
89,H,Maes,ND,CONACYT,ND,ND,22
90,H,Maes,ND,CONACYT,ND,ND,32
91,H,Maes,ND,CONACYT,ND,ND,25
92,H,Maes,ND,CONACYT,ND,ND,52
93,H,Maes,ND,CONACYT,ND,ND,50
94,H,Maes,ND,CONACYT,ND,ND,49
95,H,Maes,ND,CONACYT,ND,ND,33
96,H,Maes,ND,CONACYT,ND,ND,25
97,H,Maes,ND,CONACYT,ND,ND,37
98,H,Maes,ND,CONACYT,ND,ND,48
99,H,Maes,ND,CONACYT,ND,ND,36
100,H,Maes,ND,CONACYT,ND,ND,33
101,H,Maes,ND,CONACYT,ND,ND,50
102,H,Maes,ND,CONACYT,ND,ND,41
103,H,Maes,ND,CONACYT,ND,ND,34
104,H,Maes,ND,CONACYT,ND,ND,25
105,H,Maes,ND,CONACYT,ND,ND,29
106,H,Maes,ND,CONACYT,ND,ND,21
107,H,Maes,ND,CONACYT,ND,ND,49
108,H,Maes,ND,CONACYT,ND,ND,35
109,H,Maes,ND,CONACYT,ND,ND,24
110,H,Maes,ND,CONACYT,ND,ND,46
111,H,Maes,ND,CONACYT,ND,ND,31
112,H,Maes,ND,CONACYT,ND,ND,44
34,M,Posdoc,ND,DGAPA,ND,ND,48
35,H,Posdoc,ND,CONACYT,ND,ND,61
36,H,Posdoc,ND,DGAPA,ND,ND,56
37,H,Posdoc,ND,CONACYT,ND,ND,70
38,H,Posdoc,ND,DGAPA,ND,ND,44
39,M,Posdoc,ND,CONACYT,ND,ND,43
40,H,Posdoc,ND,CONACYT,ND,ND,53
41,H,Posdoc,ND,CONACYT,ND,ND,73
42,H,Posdoc,ND,CONACYT,ND,ND,47
43,H,Posdoc,ND,CSM,ND,ND,32
44,M,Posdoc,ND,CONACYT,ND,ND,54
45,H,Posdoc,ND,DGAPA,ND,ND,70
46,H,Posdoc,ND,CONACYT,ND,ND,53
47,M,Posdoc,ND,CONACYT,ND,ND,63
48,M,Posdoc,ND,DGAPA,ND,ND,57
49,M,Posdoc,ND,CONACYT,ND,ND,44
50,H,Posdoc,ND,CONACYT,ND,ND,63
1,M,TecAc,Asoc,POD,B,No,36
4,M,TecAc,Asoc,POD,B,No,60
12,M,TecAc,Tit,Def,D,No,42
16,H,TecAc,Asoc,POD,C,No,45
19,H,TecAc,Tit,Def,C,No,44
